# "X"	"Y"	"Inline"	"Crossline"	"Z"	"Amplitude"
# - - - - - - - - - -
1710185.51	5829152.76	1200	2035	519.7104811668396	1e30
1710187.64	5829165.08	1200	2036	519.691884517669678	1e30
1710189.76	5829177.39	1200	2037	519.591689109802246	1e30
1710191.88	5829189.71	1200	2038	519.502222537994385	1e30
1710194.00	5829202.02	1200	2039	519.355	1e30
1710196.13	5829214.34	1200	2040	519.184350967407227	1e30
1710198.25	5829226.65	1200	2041	518.977642059326172	1e30
1710200.37	5829238.97	1200	2042	518.7375545501709	1e30
1710202.50	5829251.28	1200	2043	518.97042989730835	1e30
1710204.62	5829263.60	1200	2044	519.317686557769775	1e30
1710206.74	5829275.91	1200	2045	519.557535648345947	1e30
1710208.86	5829288.23	1200	2046	519.77771520614624	1e30
1710210.99	5829300.54	1200	2047	519.8742151260376	1e30
1710213.11	5829312.86	1200	2048	519.824981689453125	1e30
1710215.23	5829325.17	1200	2049	519.8369026184082	1e30
1710217.36	5829337.49	1200	2050	520	1e30
1710219.48	5829349.80	1200	2051	520.2106237411499	1e30
1710221.60	5829362.12	1200	2052	520.254611968994141	1e30
1710223.72	5829374.44	1200	2053	519.950568675994873	1e30
1710225.85	5829386.75	1200	2054	519.742310047149658	1e30
1710227.97	5829399.07	1200	2055	519.901633262634277	1e30
1710230.09	5829411.38	1200	2056	520.22856473922729	1e30
1710232.22	5829423.70	1200	2057	520.234167575836182	1e30
1710234.34	5829436.01	1200	2058	520.0539231300354	1e30
1710236.46	5829448.33	1200	2059	519.946932792663574	1e30
1710238.58	5829460.64	1200	2060	519.863903522491455	1e30
1710240.71	5829472.96	1200	2061	519.95557546615601	1e30
1710242.83	5829485.27	1200	2062	520.137131214141846	1e30
1710244.95	5829497.59	1200	2063	520.119428634643555	1e30
1710247.08	5829509.90	1200	2064	519.946932792663574	1e30
1710249.20	5829522.22	1200	2065	519.85627412796021	1e30
1710251.32	5829534.53	1200	2066	519.571006298065186	1e30
1710253.44	5829546.85	1200	2067	519.075393676757813	1e30
1710255.57	5829559.16	1200	2068	518.5692310333252	1e30
1710257.69	5829571.48	1200	2069	518.88662576675415	1e30
1710259.81	5829583.79	1200	2070	518.965601921081543	1e30
1710261.94	5829596.11	1200	2071	519.052326679229736	1e30
1710264.06	5829608.43	1200	2072	519.433081150054932	1e30
1710266.18	5829620.74	1200	2073	519.613444805145264	1e30
1710268.30	5829633.06	1200	2074	519.492685794830322	1e30
1710270.43	5829645.37	1200	2075	519.355297088623047	1e30
1710272.55	5829657.69	1200	2076	519.159317016601563	1e30
1710274.67	5829670.00	1200	2077	518.9329981803894	1e30
1710276.80	5829682.32	1200	2078	518.937826156616211	1e30
1710278.92	5829694.63	1200	2079	519.001901149749756	1e30
1710281.04	5829706.95	1200	2080	518.96035671234131	1e30
1710283.16	5829719.26	1200	2081	518.629491329193115	1e30
1710285.29	5829731.58	1200	2082	518.014669418334961	1e30
1710287.41	5829743.89	1200	2083	517.555177211761475	1e30
1710029.70	5828101.72	1201	1950	525.292694568634033	1e30
1710050.93	5828224.87	1201	1960	524.874329566955566	1e30
1710072.16	5828348.03	1201	1970	523.80663156509399	1e30
1710093.39	5828471.18	1201	1980	521.693587303161621	1e30
1710114.61	5828594.33	1201	1990	522.980332374572754	1e30
1710157.07	5828840.64	1201	2010	522.184193134307861	1e30
1710178.30	5828963.79	1201	2020	520.993530750274658	1e30
1710199.53	5829086.94	1201	2030	520.782351493835449	1e30
1710220.76	5829210.09	1201	2040	519.041359424591064	1e30
1710263.22	5829456.40	1201	2060	519.442558288574219	1e30
1710054.33	5828097.48	1202	1950	524.509429931640625	1e30
1710075.56	5828220.63	1202	1960	524.24740791320801	1e30
1710096.79	5828343.78	1202	1970	523.493587970733643	1e30
1710118.02	5828466.94	1202	1980	521.043717861175537	1e30
1710139.25	5828590.09	1202	1990	521.9387412071228	1e30
1710160.48	5828713.24	1202	2000	521.176338195800781	1e30
1710181.70	5828836.39	1202	2010	521.00890874862671	1e30
1710202.93	5828959.55	1202	2020	520.838022232055664	1e30
1710224.16	5829082.70	1202	2030	520.389199256896973	1e30
1710245.39	5829205.85	1202	2040	519.036352634429932	1e30
1710266.62	5829329.00	1202	2050	519.505023956298828	1e30
1710287.85	5829452.16	1202	2060	518.81116628646851	1e30
1710309.08	5829575.31	1202	2070	518.751442432403564	1e30
1710078.96	5828093.24	1203	1950	524.146497249603271	1e30
1710100.19	5828216.39	1203	1960	523.730456829071045	1e30
1710121.42	5828339.54	1203	1970	522.972583770751953	1e30
1710142.65	5828462.69	1203	1980	521.13032341003418	1e30
1710163.88	5828585.85	1203	1990	522.041141986846924	1e30
1710185.11	5828709.00	1203	2000	520.760953426361084	1e30
1710206.34	5828832.15	1203	2010	520.799458026885986	1e30
1710227.56	5828955.30	1203	2020	520.608782768249512	1e30
1710248.79	5829078.46	1203	2030	519.912779331207275	1e30
1710270.02	5829201.61	1203	2040	518.262505531311035	1e30
1710291.25	5829324.76	1203	2050	519.045770168304443	1e30
1710312.48	5829447.91	1203	2060	518.538773059844971	1e30
1710333.71	5829571.07	1203	2070	518.613576889038086	1e30
1710103.60	5828088.99	1204	1950	523.753225803375244	1e30
1710124.82	5828212.15	1204	1960	523.334860801696777	1e30
1710146.05	5828335.30	1204	1970	522.640347480773926	1e30
1710167.28	5828458.45	1204	1980	520.79850435256958	1e30
1710188.51	5828581.60	1204	1990	521.645069122314453	1e30
1710209.74	5828704.76	1204	2000	520.343303680419922	1e30
1710230.97	5828827.91	1204	2010	520.522773265838623	1e30
1710252.20	5828951.06	1204	2020	520.246267318725586	1e30
1710273.43	5829074.21	1204	2030	519.398689270019531	1e30
1710294.65	5829197.37	1204	2040	517.059266567230225	1e30
1710315.88	5829320.52	1204	2050	518.3262825012207	1e30
1710337.11	5829443.67	1204	2060	518.444359302520752	1e30
1710358.34	5829566.82	1204	2070	518.327176570892334	1e30
1710128.23	5828084.75	1205	1950	522.645115852355957	1e30
1710149.46	5828207.90	1205	1960	522.7210521697998	1e30
1710170.68	5828331.06	1205	1970	522.277474403381348	1e30
1710191.91	5828454.21	1205	1980	520.21491527557373	1e30
1710213.14	5828577.36	1205	1990	520.632147789001465	1e30
1710234.37	5828700.51	1205	2000	519.92893218994141	1e30
1710255.60	5828823.67	1205	2010	520.462155342102051	1e30
1710276.83	5828946.82	1205	2020	520.5613374710083	1e30
1710298.06	5829069.97	1205	2030	519.238293170928955	1e30
1710319.29	5829193.12	1205	2040	516.865909099578857	1e30
1710340.51	5829316.28	1205	2050	518.395423889160156	1e30
1710361.74	5829439.43	1205	2060	517.951428890228271	1e30
1710382.97	5829562.58	1205	2070	518.251895904541016	1e30
1710152.86	5828080.51	1206	1950	522.573113441467285	1e30
1710174.09	5828203.66	1206	1960	521.65299654006958	1e30
1710195.32	5828326.81	1206	1970	521.431863307952881	1e30
1710216.55	5828449.97	1206	1980	519.773125648498535	1e30
1710237.77	5828573.12	1206	1990	520.601153373718262	1e30
1710259.00	5828696.27	1206	2000	519.643723964691162	1e30
1710280.23	5828819.42	1206	2010	520.704388618469238	1e30
1710301.46	5828942.58	1206	2020	520.353853702545166	1e30
1710322.69	5829065.73	1206	2030	519.11783218383789	1e30
1710343.92	5829188.88	1206	2040	517.037689685821533	1e30
1710365.15	5829312.03	1206	2050	518.079161643981934	1e30
1710386.38	5829435.19	1206	2060	517.129421234130859	1e30
1710407.60	5829558.34	1206	2070	518.33087205886841	1e30
1710177.49	5828076.27	1207	1950	521.928489208221436	1e30
1710198.72	5828199.42	1207	1960	520.7982063293457	1e30
1710219.95	5828322.57	1207	1970	520.659148693084717	1e30
1710241.18	5828445.72	1207	1980	519.677340984344482	1e30
1710262.41	5828568.88	1207	1990	520.472586154937744	1e30
1710283.63	5828692.03	1207	2000	519.436180591583252	1e30
1710326.09	5828938.33	1207	2020	520.148217678070068	1e30
1710347.32	5829061.49	1207	2030	518.900632858276367	1e30
1710368.55	5829184.64	1207	2040	516.77399873733521	1e30
1710389.78	5829307.79	1207	2050	516.9	1e30
1710432.24	5829554.10	1207	2070	517.433643341064453	1e30
1710202.12	5828072.02	1208	1950	521.119892597198486	1e30
1710223.35	5828195.18	1208	1960	520.37554979324341	1e30
1710244.58	5828318.33	1208	1970	520.316123962402344	1e30
1710265.81	5828441.48	1208	1980	519.170880317687988	1e30
1710287.04	5828564.63	1208	1990	519.929647445678711	1e30
1710308.27	5828687.79	1208	2000	519.034862518310547	1e30
1710350.72	5828934.09	1208	2020	519.985675811767578	1e30
1710371.95	5829057.24	1208	2030	518.533766269683838	1e30
1710393.18	5829180.40	1208	2040	516.254723072052	1e30
1710414.41	5829303.55	1208	2050	516.41160249710083	1e30
1710435.64	5829426.70	1208	2060	516.062378883361816	1e30
1710456.87	5829549.85	1208	2070	516.144394874572754	1e30
1710226.75	5828067.78	1209	1950	520.46501636505127	1e30
1710247.98	5828190.93	1209	1960	520.28125524520874	1e30
1710269.21	5828314.09	1209	1970	520.115971565246582	1e30
1710290.44	5828437.24	1209	1980	519.056975841522217	1e30
1710311.67	5828560.39	1209	1990	519.235372543334961	1e30
1710332.90	5828683.54	1209	2000	518.651843070983887	1e30
1710354.13	5828806.70	1209	2010	519.655585289001465	1e30
1710375.36	5828929.85	1209	2020	519.837319850921631	1e30
1710396.58	5829053.00	1209	2030	518.186092376708984	1e30
1710417.81	5829176.15	1209	2040	516.142904758453369	1e30
1710439.04	5829299.31	1209	2050	515.663444995880127	1e30
1710460.27	5829422.46	1209	2060	516.031026840209961	1e30
1710481.50	5829545.61	1209	2070	514.854013919830322	1e30
1710247.14	5828038.91	1210	1948	520.357489585876465	1e30
1710249.26	5828051.22	1210	1949	520.39206027984619	1e30
1710251.39	5828063.54	1210	1950	520.210921764373779	1e30
1710253.51	5828075.85	1210	1951	520.105063915252686	1e30
1710255.63	5828088.17	1210	1952	520.188391208648682	1e30
1710257.75	5828100.48	1210	1953	520.212769508361816	1e30
1710259.88	5828112.80	1210	1954	520.185649394989014	1e30
1710262.00	5828125.11	1210	1955	520.224571228027344	1e30
1710264.12	5828137.43	1210	1956	520.177781581878662	1e30
1710266.25	5828149.74	1210	1957	520.087778568267822	1e30
1710270.49	5828174.38	1210	1959	520.33704519271851	1e30
1710272.61	5828186.69	1210	1960	520.207822322845459	1e30
1710274.74	5828199.01	1210	1961	519.934594631195068	1e30
1710276.86	5828211.32	1210	1962	519.785046577453613	1e30
1710278.98	5828223.64	1210	1963	519.793927669525146	1e30
1710281.11	5828235.95	1210	1964	519.719123840332031	1e30
1710283.23	5828248.27	1210	1965	519.79571580886841	1e30
1710285.35	5828260.58	1210	1966	519.886195659637451	1e30
1710287.47	5828272.90	1210	1967	519.903004169464111	1e30
1710289.60	5828285.21	1210	1968	519.87767219543457	1e30
1710291.72	5828297.53	1210	1969	519.898056983947754	1e30
1710293.84	5828309.84	1210	1970	519.988894462585449	1e30
1710295.97	5828322.16	1210	1971	519.934117794036865	1e30
1710298.09	5828334.47	1210	1972	519.782721996307373	1e30
1710300.21	5828346.79	1210	1973	519.518136978149414	1e30
1710302.34	5828359.10	1210	1974	519.195914268493652	1e30
1710304.46	5828371.42	1210	1975	519.004583358764648	1e30
1710306.58	5828383.73	1210	1976	519.117474555969238	1e30
1710308.70	5828396.05	1210	1977	519.358456134796143	1e30
1710315.07	5828433.00	1210	1980	519.1044807434082	1e30
1710317.20	5828445.31	1210	1981	519.09142732620239	1e30
1710319.32	5828457.63	1210	1982	519.1349983215332	1e30
1710321.44	5828469.94	1210	1983	519.236862659454346	1e30
