# Petrel Points with attributes
# Unit in X and Y direction: m
# Unit in depth: m
VERSION 1
BEGIN HEADER
X
Y
Z
END HEADER
371535.49 4548331.61 -5075.33 
371530.43 4548343.04 -5075.11 
371525.36 4548354.47 -5074.89 
371520.29 4548365.89 -5074.56 
371515.23 4548377.32 -5074.22 
371510.16 4548388.75 -5073.89 
371505.09 4548400.17 -5073.56 
371500.02 4548411.60 -5073.22 
371494.96 4548423.03 -5072.89 
371489.89 4548434.45 -5072.33 
371484.82 4548445.88 -5071.78 
371479.75 4548457.31 -5071.22 
371474.69 4548468.74 -5070.67 
371469.62 4548480.16 -5070.00 
371464.55 4548491.59 -5069.33 
371459.48 4548503.02 -5068.78 
371454.42 4548514.44 -5068.22 
371449.35 4548525.87 -5067.78 
371444.28 4548537.30 -5067.33 
371439.22 4548548.72 -5066.89 
371434.15 4548560.15 -5066.44 
371429.08 4548571.58 -5066.11 
371424.01 4548583.00 -5065.78 
371418.95 4548594.43 -5065.44 
371413.88 4548605.86 -5065.11 
371408.81 4548617.29 -5064.78 
371403.74 4548628.71 -5064.44 
371398.68 4548640.14 -5064.33 
371393.61 4548651.57 -5064.22 
371388.54 4548662.99 -5064.11 
371383.47 4548674.42 -5064.00 
371378.41 4548685.85 -5064.00 
371373.34 4548697.27 -5064.00 
371368.27 4548708.70 -5064.00 
371363.21 4548720.13 -5064.00 
371358.14 4548731.56 -5064.00 
371353.07 4548742.98 -5064.00 
371348.00 4548754.41 -5064.00 
371342.94 4548765.84 -5064.00 
371337.87 4548777.26 -5063.89 
371332.80 4548788.69 -5063.78 
371327.73 4548800.12 -5063.67 
371322.67 4548811.54 -5063.56 
371317.60 4548822.97 -5063.44 
371312.53 4548834.40 -5063.33 
371307.47 4548845.82 -5063.11 
371302.40 4548857.25 -5062.89 
371297.33 4548868.68 -5062.67 
371292.26 4548880.11 -5062.44 
371287.20 4548891.53 -5062.22 
371282.13 4548902.96 -5062.00 
371277.06 4548914.39 -5061.44 
371271.99 4548925.81 -5060.89 
371266.93 4548937.24 -5060.33 
371261.86 4548948.67 -5059.78 
371256.79 4548960.09 -5059.22 
371251.72 4548971.52 -5058.67 
371246.66 4548982.95 -5058.22 
371241.59 4548994.37 -5057.78 
371236.52 4549005.80 -5057.33 
371231.46 4549017.23 -5056.89 
371226.39 4549028.66 -5056.44 
371221.32 4549040.08 -5056.00 
371216.25 4549051.51 -5055.67 
371211.19 4549062.94 -5055.33 
371206.12 4549074.36 -5055.00 
371201.05 4549085.79 -5054.67 
371195.98 4549097.22 -5054.33 
371190.92 4549108.64 -5054.00 
371185.85 4549120.07 -5053.89 
371180.78 4549131.50 -5053.78 
371175.71 4549142.92 -5053.67 
371170.65 4549154.35 -5053.56 
371165.58 4549165.78 -5053.44 
371160.51 4549177.21 -5053.33 
371155.45 4549188.63 -5053.22 
371150.38 4549200.06 -5053.11 
371145.31 4549211.49 -5053.00 
371140.24 4549222.91 -5052.89 
371135.18 4549234.34 -5052.89 
371130.11 4549245.77 -5052.89 
371125.04 4549257.19 -5053.00 
371119.97 4549268.62 -5053.11 
371114.91 4549280.05 -5053.11 
371109.84 4549291.48 -5053.11 
371104.77 4549302.90 -5053.11 
371099.71 4549314.33 -5053.11 
371094.64 4549325.76 -5053.11 
371089.57 4549337.18 -5053.11 
371084.50 4549348.61 -5053.11 
371079.44 4549360.04 -5053.11 
371074.37 4549371.46 -5053.11 
371069.30 4549382.89 -5053.11 
371064.23 4549394.32 -5053.11 
371059.17 4549405.74 -5053.11 
371054.10 4549417.17 -5053.11 
371049.03 4549428.60 -5053.11 
371043.96 4549440.03 -5053.00 
371038.90 4549451.45 -5052.89 
371033.83 4549462.88 -5052.67 
371028.76 4549474.31 -5052.44 
371023.70 4549485.73 -5052.33 
371018.63 4549497.16 -5052.22 
371013.56 4549508.59 -5052.11 
371008.49 4549520.01 -5052.00 
371003.43 4549531.44 -5052.00 
370998.36 4549542.87 -5052.00 
370993.29 4549554.29 -5051.89 
370988.22 4549565.72 -5051.78 
370983.16 4549577.15 -5051.67 
370978.09 4549588.58 -5051.56 
370973.02 4549600.00 -5051.44 
370967.95 4549611.43 -5051.33 
370962.89 4549622.86 -5051.11 
370957.82 4549634.28 -5050.89 
370952.75 4549645.71 -5050.67 
370947.69 4549657.14 -5050.44 
370942.62 4549668.56 -5050.11 
370937.55 4549679.99 -5049.78 
370932.48 4549691.42 -5049.22 
370927.42 4549702.85 -5048.67 
370922.35 4549714.27 -5048.11 
370917.28 4549725.70 -5047.56 
370912.21 4549737.13 -5047.00 
370907.15 4549748.55 -5046.44 
370902.08 4549759.98 -5046.00 
370897.01 4549771.41 -5045.56 
370891.95 4549782.83 -5045.00 
370886.88 4549794.26 -5044.44 
370881.81 4549805.69 -5043.89 
370876.74 4549817.11 -5043.33 
370871.68 4549828.54 -5042.78 
370866.61 4549839.97 -5042.22 
370861.54 4549851.40 -5041.67 
370856.47 4549862.82 -5041.11 
370851.41 4549874.25 -5040.67 
370846.34 4549885.68 -5040.22 
370841.27 4549897.10 -5039.89 
370836.20 4549908.53 -5039.56 
370831.14 4549919.96 -5039.22 
370826.07 4549931.38 -5038.89 
370821.00 4549942.81 -5038.78 
370815.94 4549954.24 -5038.67 
370810.87 4549965.66 -5038.56 
